id,title,description,presenters,date_created,date_modified,location,talk_dt,year,label
10,Bayesian Statistical Analysis with Python,"You've got some data, and now you want to analyze it with Python. You're on your way to greatness! Now the problem comes: do I do the t-test? Chi-squared test? How do I decide? In this talk, inspired by many Pythonista Bayesians (@jakevdp, @allendowney, @twiecki, @fonnesbeck) before, I will show you how you can take common statistical decision problems, formulate them as a Bayesian analysis problem, and use PyMC3 as your workhorse tool for gaining insights. This talk will be math-light and code-heavy, and if you download the slides, you'll have a simple template for more complex Bayesian analysis down the road!",Eric J. Ma,2018-04-19 00:59:20.193864,2018-04-19 00:59:20.193864,Portland Ballroom 251 & 258,2017-05-08 14:30:00.000000,2017,0.0
11,"Big picture software testing: unit testing, Lean Startup, and everything in-between","There are many ways you can test your software: unit testing, manual testing, end-to-end testing, and so forth. Take a step back and you'll discover even more form of testing, many of them very different in their goals: A/B testing, say, where you see which of two versions of your website results in more signups or ad clicks.  How do these forms of testing differ, how do they relate to each other? How do you choose which kind of testing to pursue, given limited time and resources? How do you deal with strongly held yet opposite views arguing either that a particular kind of testing is essential or that it's a waste time?  This talk will provide you with a model, a way to organize all forms of testing and understand what exactly they provide, and why. Once you understand the model you will be able to choose the right form of testing for your situation and goals.",Itamar Turner-Trauring,2018-04-19 00:59:20.203517,2018-04-19 00:59:20.203517,Portland Ballroom 252–253,2017-05-08 11:30:00.000000,2017,0.0
12,"Building A Gigaword Corpus: Lessons on Data Ingestion, Management, and Processing for NLP","As the applications we build are increasingly driven by text, doing data ingestion, management, loading, and preprocessing in a robust, organized, parallel, and memory-safe way can get tricky. This talk walks through the highs (a custom billion-word corpus!), the lows (segfaults, 400 errors, pesky mp3s), and the new Python libraries we built to ingest and preprocess text for machine learning.  While applications like Siri, Cortana, and Alexa may still seem like novelties, language-aware applications are rapidly becoming the new norm. Under the hood, these applications take in text data as input, parse it into composite parts, compute upon those composites, and then recombine them to deliver a meaningful and tailored end result. The best applications use language models trained on domain-specific corpora (collections of related documents containing natural language) that reduce ambiguity and prediction space to make results more intelligible. Here's the catch: these corpora are huge, generally consisting of at least hundreds of gigabytes of data inside of thousands of documents, and often more!  In this talk, we'll see how working with text data is substantially different from working with numeric data, and show that ingesting a raw text corpus in a form that will support the construction of a data product is no trivial task. For instance, when dealing with a text corpus, you have to consider not only how the data comes in (e.g. respecting rate limits, terms of use, etc.), but also where to store the data and how to keep it organized. Because the data comes from the web, it's often unpredictable, containing not only text but audio files, ads, videos, and other kinds of web detritus. Since the datasets are large, you need to anticipate potential performance problems and ensure memory safety through streaming data loading and multiprocessing. Finally, in anticipation of the machine learning components, you have to establish a standardized method of transforming your raw ingested text into a corpus that's ready for computation and modeling.  In this talk, we'll explore many of the challenges we experienced along the way and introduce two Python packages that make this work a bit easier: Baleen and Minke. Baleen is a package for ingesting formal natural language data from the discourse of professional and amateur writers, like bloggers and news outlets, in a categorized fashion. Minke extends Baleen with a library that performs parallel data loading, preprocessing, normalization, and keyphrase extraction to support machine learning on a large-scale custom corpus.",Rebecca Bilbro,2018-04-19 00:59:20.209353,2018-04-19 00:59:20.209353,Portland Ballroom 251 & 258,2017-05-08 16:30:00.000000,2017,0.0
13,Building Stream Processing Applications,"Do you have a stream of data that you would like to process in real time? There are many components with Python APIs that you can put together to build a stream processing application. We will go through some common design patterns, tradeoffs and available components / frameworks for designing such systems. We will solve an example problem during the presentation to make these points concrete. Much of what will be presented is based on experience gained from building production pipelines for the real-time processing of ad streams at Yelp. This talk will cover topics such as consistency, availability, idempotency, scalability, etc.","Amit Ramesh, Qui Nguyen",2018-04-19 00:59:20.214731,2018-04-19 00:59:20.214731,Oregon Ballroom 201–202,2017-05-08 14:30:00.000000,2017,1.0
14,Community powered packaging: conda-forge,"The Python scientific community always wanted a package manager that is cross platform, does not require sudo, and lets Python be awesome! The conda package manager solved that problem, but created a new ones...  This talk is a tour disguised as a beginner tutorial to conda-forge packaging. We will try to discuss some myths and misconceptions about conda and conda-forge, as well as a quick comparison with pip and wheels.",Filipe Pires Alvarenga Fernandes,2018-04-19 00:59:20.220067,2018-04-19 00:59:20.220067,Oregon Ballroom 201–202,2017-05-08 13:55:00.000000,2017,0.0
15,Constructive Code Review,"“Your code is bad and you are bad. Have a bad day.” Too many code reviews feel like this, and it saps the enthusiasm that drives open source. Instead, let’s explore how to give reviews that are truthful but encouraging, boosting the skill level of contributors and the quality of the project. We’ll look at “tact hacks” that nudge communication in a friendly direction, antipatterns to avoid, the pesky human emotions that can tempt us into reviewing poorly, and techniques for leveling up newcomers without losing all your coding time.",Erik Rose,2018-04-19 00:59:20.224593,2018-04-19 00:59:20.224593,Portland Ballroom 254–255,2017-05-08 15:15:00.000000,2017,0.0
16,Cython as a Game Changer for Efficiency,"Are you running a Web application? Do you suffer from CPU bottlenecks that slow down your growth? There's a tool that can easily fix all that, and then some. C++ knowledge not required.  Come learn how Instagram, the world's largest Django deployment with more than 600M active users, saved ~30% of global CPU by rewriting a handful of modules on the critical path in Cython. Learn to apply those techniques to your own projects with little effort and stop worrying about switching to other programming languages or rewriting stable components in C++.",Alex Orlov,2018-04-19 00:59:20.229240,2018-04-19 00:59:20.229240,Portland Ballroom 251 & 258,2017-05-08 17:10:00.000000,2017,1.0
17,Dask: A Pythonic Distributed Data Science Framework,"Dask is a general purpose parallel computing system capable of Celery-like task scheduling, Spark-like big data computing, and Numpy/Pandas/Scikit-learn level complex algorithms, written in Pure Python.  Dask has been adopted by the PyData community as a Big Data solution.  This talk focuses on the distributed task scheduler that powers Dask when running on a cluster.  We'll focus on how we built a Big Data computing system using the Python networking stack (Tornado/AsyncIO) in service of its data     science stack (NumPy/Pandas/Scikit Learn).  Additionally we'll talk about the  challenges of effective task scheduling in a data science context (data        locality, resilience, load balancing) and how we manage this dynamically with  aggressive measurement and dynamic scheduling heuristics.",Matthew Rocklin,2018-04-19 00:59:20.233945,2018-04-19 00:59:20.233945,Portland Ballroom 252–253,2017-05-08 16:15:00.000000,2017,0.0
18,"Debugging in Python 3.6: Better, Faster, Stronger","Python 3.6 was released in December of 2016 and it has a lot of new cool features. Some of them are quite easy for using: a developer can read, for example, about f-strings and they can start using them in their programs as soon as possible. But sometimes features are not so evident, and a new frame evaluation API is one of them.  The new frame evaluation API was introduced to CPython in PEP 523 and it allows to specify a per-interpreter function pointer to handle the evaluation of frames. It might not be evident how to use this new feature in everyday life, but it’s quite easy to understand how to build a fast debugger based on it.  In this talk we are going to explain how standard way of debugging in Python works and how a new frame evaluation API may be useful for creating the fast debugger. Also we will consider why such fast debugging was not possible in the previous versions of Python. If someone hasn’t made a final decision to move to Python 3.6 this talk will provide some new reasons to do it.",Elizaveta Shashkova,2018-04-19 00:59:20.238762,2018-04-19 00:59:20.238762,Oregon Ballroom 201–202,2017-05-08 10:50:00.000000,2017,1.0
20,Designing secure APIs with state machines,"Did you ever need to create an application whose behavior varies with its state, while still presenting a consistent interface to its callers? A good, layered design using state machines can help avoid the tedious 'if' checks for flags, and ensure that if your code runs at all, it will run with all the required values initialized.  I will demonstrate this with examples, and talk about some available tools and libraries to build state machines in Python.        I will also discuss how to effectively use the process of threat modeling to build secure web applications. Threat modeling is a computer security technique that helps you better understand the systems you create, identify attacks, and build defenses. I will talk about things that we, as software developers, can do to assess the security of our applications in the real world through this process.","Ashwini Oruganti, Mark Williams",2018-04-19 00:59:20.261740,2018-04-19 00:59:20.261740,Portland Ballroom 251 & 258,2017-05-08 14:35:00.000000,2017,1.0
21,Dial M For Mentor,"One of the nicest things about Python community is the availability of mentors willing to help you. Various mentors have helped me navigate the open source community and help advanced my skills. I realized finding a mentor is not as easy as it seems, and it takes a lot of courage to reach out in the first place. And then, there is impostor syndrome, where one may feel like they don’t deserve the help. In this talk, I will provide advice about working with a mentor. Asking for help is not a failure.",Mariatta Wijaya,2018-04-19 00:59:20.270133,2018-04-19 00:59:20.270133,Portland Ballroom 254–255,2017-05-08 13:55:00.000000,2017,1.0
22,"Dr. Microservices, Or How I Learned to Stop Worrying and Love the API","Assuming that you already know how to build a monolithic app, you must be wondering how you can use all this ""microservice"" stuff that you keep hearing about. Well, a good word of advice is that you probably don't need it. If designed properly, a monolithic app should be able to scale and fit the needs of most businesses. Even so, you should keep your development as simple as possible until you have proven and solidified your business concepts. But if you do need to grow to Internet scale, then you have a long road ahead of you.  Moving from a monolithic application to microservices is a natural evolution that is often of necessity. There are several competing schools of thought that are still being battle-tested in these early days of microservice architecture. Among all the competing paradigms, most of the requirements can be agreed upon, but are mostly differentiated by the tools used to fulfill the requirements.  This talk will cover setting up the required infrastructure, and demonstrate how to migrate a sample monolithic Django application into a microservices platform.  The demo application will use the following technologies: Django, Flask, Fabric, Terraform, Ansible, CentOS, Docker, Mesos, Consul, Nginx, Pgbouncer, Kafka",Ryan Anguiano,2018-04-19 00:59:20.274702,2018-04-19 00:59:20.274702,Portland Ballroom 252–253,2017-05-08 14:35:00.000000,2017,0.0
23,Ending Py2/Py3 compatibility in a user friendly manner,"   ""Four shalt thou not count, neither count thou two, excepting that thou   then proceed to three.""           Monty Python and the Holy Grail; Scene 33      Python 3 has been around for more than eight years, and much of the Python ecosystem is now available both on Python 2 and Python 3, often using a single code base. Nonetheless, this compatibility comes at a development cost and some library authors are considering ending support for Python 2 . These once-python-2-compatible libraries are at risk of being upgraded on non compatible system and cause user (and developer) frustration.  While it may seem simple to cease support for Python 2, the challenge is not in ending support, but doing so in a way that does not wreak havoc for users who stay on Python 2. And that is not only a communications problem, but a technical one : up until recently, it was impossible to tag a release as Python 3 only; today it is possible.  Like any maintainer of a widely used library, we want to ensure that users continue to use Python 2 continue to have functioning libraries, even after development proceeds in a way that does not support Python 2.   One approach is to ensure easy installation of older versions if possible avoid incompatible versions altogether. Users should not need to manually pin maximal version dependencies across their development environments and projects if all they want is to use the latest versions of libraries that are compatible with their system.  Even if we did expect that of users, consider what would happen when a package they rely on converts to be only Python 3 compatible. If they were not tracking the complete dependency tree, they might discover, on  upgrade, that their projects no longer work. To avert this they would need to pin those at the last version compatible with Python 2. Users that want to use older python versions should not have to go through so much anguish to do so.   In order to solve this problem, and thereby make both users' and maintainers' lives easier, we ventured into the rabbit-hole called Packaging.  Though we set off with a singular quest, our tale roves through many lands. We'll narrate the story of our amending PEPs, our efforts in building the ramparts of the pypa/Warehouse Castle, battles with the dragons of Pip, and errands in the ""land of no unit tests"" otherwise known as PyPI legacy.  By the end of the above tale, the audience members will know the road to Python 3 only libraries had once had hazards that are now easily avoidable. So long as users upgrade their package management tools.","Matthias Bussonnier, Min Ragan-Kelley, M Pacer, Thomas Kluyver",2018-04-19 00:59:20.278857,2018-04-19 00:59:20.278857,Portland,2017-05-08 15:15:00.000000,2017,1.0
24,Executing python functions in the linux kernel by transpiling to bpf,ebpf is a linux kernel byte-code which can be used for functionality ranging from tracing system calls with kprobe to routing packets with tc.  This talk is about a pure-python front-end for ebpf that allows users to write simple python functions to be executed in the kernel.  I'll first explain how this was made to work and then I'll show off some of the features/capabilities of this approach with working examples.,Alex Gartrell,2018-04-19 00:59:20.285635,2018-04-19 00:59:20.285635,Portland Ballroom 254–255,2017-05-08 15:15:00.000000,2017,0.0
25,Experiment Assignment on the Web,"A popular way of improving websites is to run experiments on it. We split users into groups, show two or more variations of the site, measure how well each one does, and then show the best version to everyone. In this talk, I'll walk through a toy Python program that does the first step: splits users into groups. A few interesting problems arise: grouping users, whitelists, and scaling. I'll share different ways to address them. I'll also give examples of things that can go terribly wrong when designing experiment assignment code.",Jessica Stringham,2018-04-19 00:59:20.291799,2018-04-19 00:59:20.291799,Oregon Ballroom 203–204,2017-05-08 10:50:00.000000,2017,1.0
26,Exploring Network Programmability with Python and YANG,"Recently, networking vendors and Silicon Valley giants have been putting forth a concerted effort to build standardized models for networking devices. These models allow for building reusable and versatile scripts with predictable, standardized data. Without such models, the wide variety of inputs and outputs required by different devices and vendors made scripting a tedious and challenging endeavor. The modeling language in use is called YANG, and a variety of standards have emerged. A vendor agnostic standard called OpenConfig has lately become stable enough to begin programming devices with it. Using Python, YANG is surprisingly easy to work with, and extremely powerful applications can be written with basic knowledge of JSON or XML and RPCs.   The talk will start with use-cases for programming networking devices, and will detail a specific, trivial, use case that will be used in the talk. Next, we will discuss the ‘legacy’ way of programming devices (SSH and screenscraping), and highlight the challenges, such as complex regular expressions, slow responses, and lack of reusability between devices. From there we will dive into YANG, focusing on OpenConfig models. A YANG model is essentially a template, and JSON or XML can be mapped to the YANG template. This makes it perfect for Pythonic manipulation. In the use case there will be a GET RPC returning a YANG representation of the box’s state in JSON, which we will search for the relevant health indicator by drilling down in the JSON dictionary. A simple change to the dictionary will remediate the problem, and a PATCH RPC merges the new configuration onto the box. Since open, standard models are in use, this script could be run on many devices across a network to achieve the same effect with no changes needed. We will finish up with the pros and cons of YANG before opening the talk for Q&A.",Lisa N Roach,2018-04-19 00:59:20.296175,2018-04-19 00:59:20.296175,Portland Ballroom 252–253,2017-05-08 12:10:00.000000,2017,1.0
27,"Factory Automation with Python - Stories about Robots, Serial Ports, and Barcode Readers","In industrial automation tried and tested always beats latest and greatest: The machines that make smartphones have a serial port and are configured with .csv files. But when your factory automates complex non-linear workflows and is jam-packed with sensors and robots, you are quickly faced with software engineering challenges that call for modern tools.  Python turns out to be surprisingly versatile in this setting, whether for prototyping a single conveyor belt or taming a building full of robots. This talk explains how to use Python for interfacing with two common industrial automation devices: a barcode scanner and a Programmable Logic Controller (PLC). After a simple demo, you’ll hear about lessons learned using Python packages that weren’t written with robots in mind, like Celery and pandas, with robots.",Jonas Neubert,2018-04-19 00:59:20.300273,2018-04-19 00:59:20.300273,Oregon Ballroom 203–204,2017-05-08 14:35:00.000000,2017,0.0
28,Fuzzy Search Algorithms: How and When to Use Them,"Fuzzy Searching or approximate string matching is powerful because often text data is messy. For example, shorthand and abbreviated text are common in various data sets. In addition, outputs from OCR or voice to text conversions tend to be messy or imperfect. Thus, we want to be able to make the most of our data by extrapolating as much information as possible.   In this talk, we will explore the various approaches used in fuzzy string matching and demonstrate how they can be used as a feature in a model or a component in your python code. We will dive deep into the approaches of different algorithms such as Soundex, Trigram/n-gram search, and Levenshtein distances and what the best use cases are. We will also discuss situations where it’s important to take into account the meaning or intent of a word and demonstrate approaches for measuring semantic similarity using nltk and word2vec. Furthermore, we will demonstrate via live coding how to implement some of these fuzzy search algorithms using python and/or built-in fuzzy search functions within PostgreSQL.",Jiaqi Liu,2018-04-19 00:59:20.305098,2018-04-19 00:59:20.305098,Oregon Ballroom 203–204,2017-05-08 17:10:00.000000,2017,0.0
29,Gothic Colors: Using Python to understand color in nineteenth-century literature,"Do you love literature and programming? Have you ever been curious about what the heck “Digital Humanities” are? Join us for a quick survey of what’s going on in this growing field and learn about a specific project, “Gothic Colors” where we set out to enumerate and analyze color references and mood in 19th century Gothic novels, using Python and a couple of popular libraries.","Eleanor Stribling, Caroline Winter",2018-04-19 00:59:20.309869,2018-04-19 00:59:20.309869,Portland Ballroom 254–255,2017-05-08 14:30:00.000000,2017,0.0
30,Grok the GIL: Write Fast And Thread-Safe Python,"I wrote Python for years while holding mistaken notions about the Global Interpreter Lock, and I've met others in the same boat. The GIL's effect is simply this: only one thread can execute Python code at a time, while N other threads sleep or await network I/O. Let's read CPython interpreter source and try some examples to grok the GIL, and learn to write fast and thread-safe Python.",A. Jesse Jiryu Davis,2018-04-19 00:59:20.315929,2018-04-19 00:59:20.315929,Oregon Ballroom 201–202,2017-05-08 12:10:00.000000,2017,0.0
31,Hacking Cars with Python,"Modern cars are networks of computers, and a high end vehicle could have nearly 100 different computers inside. These devices control everything from the engine to the airbags. By understanding how these systems work, we can interface with vehicles to read data, perform diagnostics, and even modify operation.  In this talk, we'll discuss pyvit, the Python Vehicle Interface Toolkit. This library, combined with some open source hardware, allows developers to talk to automotive controllers from Python.   We will begin with an introduction to automotive networks, to provide a basis for understanding the tools. Next, we will look at the tools and show the basics of using them. Finally, we'll discuss real world applications of these tools, and how they're being used in the automotive world today.",Eric Evenchick,2018-04-19 00:59:20.321994,2018-04-19 00:59:20.321994,Portland Ballroom 252–253,2017-05-08 14:30:00.000000,2017,0.0
32,Hacking Classic Nintendo Games with Python,"Do you feel like using your superpowers as a developer to bring the games of your childhood into the future with the power of the Internet? In this live coded journey, we'll build an SMS powered ""Game Genie"" allowing the audience to send text messages to manipulate the Nintendo games being played in real time. This will involve working with Flask, the Twilio API, the FCEUX NES emulator and how to bridge them with quick Lua scripts.",Sam Agnew,2018-04-19 00:59:20.326760,2018-04-19 00:59:20.326760,Portland Ballroom 252–253,2017-05-08 13:10:00.000000,2017,0.0
33,"How documentation works, and how to make it work for your project","Nearly everyone (especially in the Python community) agrees that good documentation is important to the success of software projects, and yet very few projects actually have good documentation.  Often, it's not for want of effort - the project's developers have worked hard on it - nor for lack of documentation - the authors have produced a lot of it.   It simply turns out to be not very good - not helpful enough for the users who should be able to rely on it, and a depressing chore for the authors who have to maintain it.  The good news is that both these problems can be solved by understanding how documentation works, and what its different functions are. Structuring documentation according to those distinct functions helps ensure that each of them is adequately served. It also makes it far easier to write and maintain.  Using real-life examples I'll draw out the key functions of documentation, and how they map onto different ways of writing it. Putting this into practice is simple when armed with some basic guidelines. The benefits are huge, and available with a minimum of effort.  I won't be discussing documentation tools or software or other topics that have been covered amply elsewhere, but some neglected aspects of software documentation that will make your software projects more successful.",Daniele Procida,2018-04-19 00:59:20.334223,2018-04-19 00:59:20.334223,Portland Ballroom 254–255,2017-05-08 11:30:00.000000,2017,0.0
34,How to make a good library API,"It's not easy to write libraries with great APIs. We're aware of that. However, it's not always clear how we can follow abstract ideals like elegance, simplicity, and extensibility to improve our APIs. That's why in this talk we'll discuss good and bad APIs with real-world examples. For each thing learned, we'll come up with a checklist to help us with practical advice for writing good APIs.",Flávio Juvenal,2018-04-19 00:59:20.339458,2018-04-19 00:59:20.339458,Oregon Ballroom 203–204,2017-05-08 14:35:00.000000,2017,0.0
35,How to write a Python transpiler,"We all know Python is a powerful and expressive programming language. What you may not know is how much of the internals of Python itself is exposed for you to use and manipulate.  In this talk, you'll be introduced to the tools and libraries Python provides to manipulate the compilation and execution of Python code. You will also see how you can use those tools to target execution environments other than the CPython virtual machine.",Russell Keith-Magee,2018-04-19 00:59:20.343863,2018-04-19 00:59:20.343863,Portland Ballroom 254–255,2017-05-08 13:55:00.000000,2017,1.0
36,Human-Machine Collaboration for Improved Analytical Processes,"Over the last several years, Python developers interested in data science and analytics have acquired a variety of tools and libraries that aim to facilitate analytical processes. Libraries such as Pandas, Statsmodels, Scikit-learn, Matplotlib, Seaborn, and Yellowbrick have made tasks such as data wrangling, statistical modeling, machine learning, and data visualization much quicker and easier. They have accomplished this by automating and abstracting away some of the more tedious, repetitive processes involved with analyzing and modeling data.   Over the next few years, we are sure to witness the introduction of new tools that are increasingly intelligent and have the ability to automate more complex analytical processes. However, as we begin using these tools (and developing new ones), we should strongly consider the level of automation that is most appropriate for each case. Some analytical processes are technically difficult to automate, and therefore require large degrees of human steering. Others are relatively easy to automate but perhaps should not be due to the unpredictability of results or outputs requiring a level of compassionate decision-making that machines simply don’t possess. Such processes would benefit greatly from the collaboration between automated machine tasks and uniquely human ones. After all, it is often systems that utilize a combination of both human and machine intelligence that achieve better results than either could on their own.   In this talk, we will discuss human-machine collaboration as it applies to analyzing data with Python. We will review a framework for exploratory data analysis with the goal of identifying which tasks should be automated, which tasks should not, and which tasks would benefit from a more interactive, symbiotic, and collaborative process between the human and the machine. We will explore Python libraries that we can use to build tools that allow us to perform different types of analysis. We’ll also introduce the Cultivar project, an example of a hybrid analytics tool that combines a Django framework with Javascript visualizations and Celery for task management to facilitate more efficient and effective human-machine systems for data analysis.",Tony Ojeda,2018-04-19 00:59:20.350535,2018-04-19 00:59:20.350535,Portland Ballroom 252–253,2017-05-08 14:35:00.000000,2017,1.0
37,I Installed Python 3.6 on Windows and I Liked It,"Python has a great reputation as a cross-platform language, which for many people means different varieties of Linux. But a huge number of Python users are running on Windows - a fundamentally different operating system where things do not always work the same. However, Python has always worked incredibly well across different platforms including Windows, going to great lengths to support and expose the platform without making development more complex. In this session, CPython core developer and Microsoft engineer Steve Dower will discuss some of the reasons why cross-platform support is not an accident, and how Python 3.6 makes it even easier to support both Windows and Linux.",Steve Dower,2018-04-19 00:59:20.357638,2018-04-19 00:59:20.357638,Portland Ballroom 251 & 258,2017-05-08 15:15:00.000000,2017,0.0
38,Immutable Programming - Writing Functional Python,"The world of Haskell and functional programming may seem like a distant place to many working Python developers, but some of the techniques used there are remarkably useful when developing in Python.  In this talk, I will cover some of the pitfalls of mutability that you may run into while writing Python programs, and some tools and techniques that Python has built in that will let you avoid them. You'll see namedtuples, enums and properties, and also some patterns for structuring immutable programs that will make them easier to build, extend, and test.",Calen Pennington,2018-04-19 00:59:20.362162,2018-04-19 00:59:20.362162,Portland Ballroom 254–255,2017-05-08 11:30:00.000000,2017,1.0
